Dependencias,Municipios,Genero,Edad
Oficina Control Interno Diciplinario,PUPIALES,masculino,39
Subsecretaría de Gestión Pública,SAPUYES,masculino,56
Subsecretaría de Rentas,BELEN,masculino,31
Secretaría de Equidad de Genero e Inclusión Social,SANTA BARBARA,femenino,41
Subsecretaría de Desarrollo Comunitario,SANTACRUZ,masculino,55
Dirección Administrativa de Cultura,TANGUA,masculino,69
Dirección Administrativa de Turismo,POTOSI,femenino,54
Secretaría de Gobierno,ROBERTO PAYAN,femenino,71
Secretaría de Equidad de Genero e Inclusión Social,SAPUYES,femenino,30
Subsecretaría de Gestión Ambiental y Crecimiento Verde,MALLAMA,masculino,82
Secretaría de Educación,ALBAN,femenino,37
Secretaría de Ambiente y Desarrollo Sostenible,IMUES,femenino,64
Dirección Administrativa de Turismo,LOS ANDES,femenino,23
Secretaría de Gobierno,GUACHUCAL,femenino,21
Subsecretaría de Transito y Trasnporte,CORDOBA,femenino,31
Subsecretaría de Talento Humano,SANDONA,femenino,55
Oficina Control Interno Diciplinario,IPIALES,femenino,29
Subsecretaría de Desarrollo Comunitario,POTOSI,masculino,79
Subsecretaría de Economía Regional y Agua Potable,POTOSI,masculino,67
Subsecretaría Administrativa y Financiera,GUAITARILLA,masculino,87
Subsecretaría Administrativa,LA LLANADA,femenino,36
Secretaría de Educación,BARBACOAS,masculino,8
Oficina Jurídica,ROBERTO PAYAN,masculino,60
Subsecretaría de Minas,OLAYA HERRERA,femenino,83
Secretaría de Infraestructura y Minas,CUMBAL,masculino,27
Subsecretaría de Presupuesto,ANCUYA,femenino,86
Secretaría de Equidad de Genero e Inclusión Social,EL CHARCO,femenino,39
Secretaría General,LA LLANADA,masculino,29
Oficina Control Interno Diciplinario,PUERRES,femenino,78
Secretaría de Hacienda,EL PEÑOL,masculino,61
Secretaría de Infraestructura y Minas,GUACHUCAL,femenino,6
Subsecretaría de Asistencia Técnica,OSPINA,masculino,75
Dirección Administrativa de Turismo,CONSACA,femenino,46
Oficina Control Interno Diciplinario,EL CHARCO,femenino,57
Subsecretaría de Transito y Trasnporte,CHACHAGUI,femenino,54
Oficina Control Interno Diciplinario,MOSQUERA,masculino,45
Secretaría de Equidad de Genero e Inclusión Social,ILES,masculino,25
Subsecretaría de Paz y Derechos Humanos,OSPINA,masculino,35
Secretaría de Ambiente y Desarrollo Sostenible,GUAITARILLA,masculino,16
Departamento Administrativo de Contratación,MALLAMA,masculino,22
Secretaría de Recreación y Deporte,CORDOBA,masculino,44
Secretaría de Planeación,SAN PEDRO DE CARTAGO,femenino,64
Subsecretaría de Gestión Pública,COLON,femenino,31
Oficina Control Interno Diciplinario,ILES,masculino,13
Subsecretaría de Transito y Trasnporte,SAN BERNARDO,femenino,65
Secretaría de Equidad de Genero e Inclusión Social,SANDONA,femenino,75
Secretaría de Hacienda,BUESACO,masculino,72
Secretaría de Educación,BUESACO,femenino,16
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",LA FLORIDA,femenino,22
Oficina Control Interno Diciplinario,SANTA BARBARA,masculino,84
Secretaría de Gobierno,GUAITARILLA,femenino,88
Subsecretaría de Transito y Trasnporte,SAN PEDRO DE CARTAGO,masculino,63
Secretaría de Agricultura y Desarrollo Rural,LOS ANDES,masculino,86
Subsecretaría de Infraestructura y Vías,GUACHUCAL,femenino,40
Subsecretaría de Economía Regional y Agua Potable,IPIALES,masculino,17
Archivo General,LA UNION,masculino,55
Subsecretaría de Rentas,OLAYA HERRERA,femenino,33
Oficina Control Interno de Gestión,FUNES,femenino,27
Subsecretaría de Paz y Derechos Humanos,SAPUYES,femenino,84
Subsecretaría de Paz y Derechos Humanos,CHACHAGUI,femenino,81
Subsecretaría de Calidad Educativa,BUESACO,femenino,74
Subsecretaría de Paz y Derechos Humanos,CORDOBA,femenino,34
Subsecretaría de Talento Humano,ROBERTO PAYAN,femenino,50
Secretaría General,FRANCISCO PIZARRO,masculino,34
Subsecretaría de Gestión Pública,LA UNION,masculino,13
Subsecretaría de Asistencia Técnica,SAMANIEGO,femenino,73
Subsecretaría de Planeación Educativa y Cobertura,CONSACA,masculino,88
Secretaría de Recreación y Deporte,PROVIDENCIA,femenino,66
Oficina Control Interno de Gestión,COLON,femenino,40
Subsecretaría de Planeación Educativa y Cobertura,YACUANQUER,femenino,67
Subsecretaría Administrativa y Financiera,SANTA BARBARA,femenino,68
Secretaría de Hacienda,SAN PEDRO DE CARTAGO,masculino,87
Dirección Administrativa de Cultura,ARBOLEDA,masculino,61
Oficina Control Interno de Gestión,CUMBAL,masculino,27
Subsecretaría Administrativa y Financiera,OLAYA HERRERA,femenino,29
Secretaría de Infraestructura y Minas,OSPINA,masculino,73
Subsecretaría de Desarrollo Comunitario,SAPUYES,masculino,44
Dirección Administrativa de Cultura,POLICARPA,masculino,71
Subsecretaría de Gestión Pública,ANCUYA,masculino,29
Subsecretaría de Presupuesto,SAMANIEGO,femenino,81
Oficina Control Interno Diciplinario,GUACHUCAL,masculino,86
Secretaría General,SAN BERNARDO,masculino,57
Dirección Administrativa de Turismo,LA UNION,femenino,41
Subsecretaría de Paz y Derechos Humanos,POLICARPA,masculino,38
Secretaría General,GUACHUCAL,masculino,10
Dirección Administrativa de Turismo,EL PEÑOL,femenino,75
Oficina Jurídica,MOSQUERA,femenino,75
Secretaría de Planeación,GUAITARILLA,masculino,40
Subsecretaría de Talento Humano,LOS ANDES,femenino,57
Subsecretaría de Gestión Pública,TANGUA,femenino,65
Secretaría de Educación,CORDOBA,femenino,66
Oficina Control Interno Diciplinario,CORDOBA,femenino,81
Oficina Control Interno de Gestión,LA TOLA,masculino,32
Subsecretaría de Transito y Trasnporte,PUERRES,femenino,18
Secretaría de Infraestructura y Minas,LA CRUZ,masculino,44
Subsecretaría de Talento Humano,SAPUYES,femenino,9
Subsecretaría de Minas,LA LLANADA,femenino,72
Subsecretaría de Gestión Pública,SAN PEDRO DE CARTAGO,femenino,84
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",SAN PABLO,femenino,69
Departamento Administrativo de Contratación,TUMACO,masculino,6
Oficina Jurídica,OLAYA HERRERA,femenino,39
Secretaría de Infraestructura y Minas,PUPIALES,femenino,74
Subsecretaría de Planeación Educativa y Cobertura,PUPIALES,femenino,57
Subsecretaría de Gestión Ambiental y Crecimiento Verde,POLICARPA,masculino,79
Secretaría de Ambiente y Desarrollo Sostenible,COLON,masculino,45
Dirección Administrativa de Turismo,SAMANIEGO,femenino,31
Departamento Administrativo de Contratación,EL CHARCO,femenino,27
Subsecretaría Administrativa,LA TOLA,masculino,31
Secretaría de Infraestructura y Minas,MALLAMA,masculino,27
Subsecretaría de Talento Humano,CUASPUD,femenino,60
Departamento Administrativo de Contratación,GUAITARILLA,femenino,53
Secretaría de Equidad de Genero e Inclusión Social,LOS ANDES,femenino,36
"Secretaría de TIC, Innovación y Gobierno Abierto",SAMANIEGO,masculino,56
Subsecretaría de Minas,FRANCISCO PIZARRO,femenino,58
Subsecretaría de Economía Regional y Agua Potable,NARIÑO,masculino,74
Dirección Administrativa de Turismo,NARIÑO,femenino,8
Oficina Control Interno Diciplinario,IPIALES,femenino,83
Subsecretaría de Presupuesto,SAN PABLO,masculino,27
Subsecretaría de Infraestructura y Vías,BUESACO,femenino,79
"Secretaría de TIC, Innovación y Gobierno Abierto",GUALMATAN,femenino,51
Secretaría de Gobierno,EL ROSARIO,masculino,31
Secretaría de Planeación,OLAYA HERRERA,masculino,51
Subsecretaría Administrativa,YACUANQUER,femenino,44
"Secretaría de TIC, Innovación y Gobierno Abierto",GUACHUCAL,masculino,83
Subsecretaría de Minas,SANDONA,femenino,19
Subsecretaría de Talento Humano,ARBOLEDA,femenino,86
Secretaría de Agricultura y Desarrollo Rural,POTOSI,femenino,11
Dirección Administrativa de Cultura,FUNES,masculino,42
Secretaría de Infraestructura y Minas,LEIVA,masculino,67
Subsecretaría de Desarrollo Comunitario,PUERRES,masculino,62
Subsecretaría de Rentas,CUASPUD,masculino,26
Secretaría de Planeación,POTOSI,femenino,52
Secretaría de Equidad de Genero e Inclusión Social,BELEN,femenino,62
Secretaría de Gobierno,LA LLANADA,masculino,41
Subsecretaría de Presupuesto,ARBOLEDA,femenino,76
Dirección Administrativa de Turismo,FUNES,femenino,57
Dirección Administrativa de Cultura,IMUES,masculino,40
Secretaría General,SANDONA,femenino,79
Secretaría General,POLICARPA,masculino,66
Subsecretaría de Asistencia Técnica,FRANCISCO PIZARRO,femenino,46
Subsecretaría de Talento Humano,EL ROSARIO,masculino,11
Dirección Administrativa de Turismo,LA UNION,femenino,55
Subsecretaría de Paz y Derechos Humanos,GUACHUCAL,femenino,25
Secretaría de Agricultura y Desarrollo Rural,PROVIDENCIA,femenino,67
Oficina Jurídica,TUQUERRES,masculino,33
Subsecretaría de Desarrollo Comunitario,MAGUI,masculino,58
Secretaría General,SAPUYES,femenino,79
Subsecretaría de Gestión Ambiental y Crecimiento Verde,EL TABLON DE GOMEZ,masculino,24
Subsecretaría Administrativa,SAN PABLO,femenino,70
Secretaría de Ambiente y Desarrollo Sostenible,CONSACA,masculino,77
Dirección Administrativa de Turismo,SANTA BARBARA,masculino,54
Subsecretaría de Economía Regional y Agua Potable,PUPIALES,femenino,70
Subsecretaría de Gestión Pública,PROVIDENCIA,femenino,65
Subsecretaría de Rentas,RICAURTE,masculino,36
Subsecretaría de Gestión Ambiental y Crecimiento Verde,MALLAMA,femenino,22
Subsecretaría de Planeación Educativa y Cobertura,FRANCISCO PIZARRO,masculino,54
Oficina Control Interno de Gestión,EL CHARCO,femenino,34
Subsecretaría de Economía Regional y Agua Potable,EL TAMBO,femenino,41
Secretaría de Gobierno,CONSACA,femenino,16
Archivo General,FUNES,masculino,87
"Secretaría de TIC, Innovación y Gobierno Abierto",LA LLANADA,femenino,29
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CHACHAGUI,masculino,58
Subsecretaría de Paz y Derechos Humanos,EL TAMBO,masculino,62
Subsecretaría de Planeación Educativa y Cobertura,ILES,masculino,57
Dirección Administrativa de Gestión de Riesgo de Desastres,SAN LORENZO,masculino,47
Subsecretaría de Talento Humano,LA UNION,masculino,64
Secretaría de Infraestructura y Minas,CONSACA,masculino,58
Secretaría de Ambiente y Desarrollo Sostenible,EL TABLON DE GOMEZ,masculino,46
Subsecretaría de Minas,MALLAMA,femenino,77
Subsecretaría Administrativa,SAN BERNARDO,femenino,67
Dirección Administrativa de Cultura,LA CRUZ,masculino,27
"Secretaría de TIC, Innovación y Gobierno Abierto",RICAURTE,masculino,32
Secretaría de Equidad de Genero e Inclusión Social,PROVIDENCIA,femenino,61
Dirección Administrativa de Turismo,EL TABLON DE GOMEZ,femenino,15
Subsecretaría Administrativa y Financiera,MOSQUERA,femenino,60
"Secretaría de TIC, Innovación y Gobierno Abierto",TUMACO,masculino,40
Secretaría de Infraestructura y Minas,ALBAN,femenino,18
Secretaría de Planeación,SAN BERNARDO,femenino,24
Subsecretaría de Minas,OLAYA HERRERA,masculino,62
Secretaría de Planeación,GUALMATAN,femenino,7
Secretaría de Infraestructura y Minas,EL TAMBO,masculino,21
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",CUASPUD,masculino,78
Secretaría de Agricultura y Desarrollo Rural,BELEN,femenino,29
Subsecretaría de Transito y Trasnporte,RICAURTE,femenino,10
Subsecretaría de Economía Regional y Agua Potable,SANTA BARBARA,masculino,21
Secretaría de Planeación,ALBAN,femenino,6
Secretaría de Gobierno,GUAITARILLA,masculino,43
Secretaría de Gobierno,POTOSI,masculino,42
Archivo General,FRANCISCO PIZARRO,femenino,16
Secretaría de Educación,SAN PABLO,femenino,20
Subsecretaría de Economía Regional y Agua Potable,COLON,femenino,62
Subsecretaría de Rentas,MAGUI,masculino,38
Dirección Administrativa de Turismo,GUAITARILLA,masculino,71
Subsecretaría de Talento Humano,YACUANQUER,masculino,56
Departamento Administrativo de Contratación,SANTACRUZ,femenino,75
Secretaría de Gobierno,TUMACO,femenino,16
Subsecretaría de Economía Regional y Agua Potable,NARIÑO,femenino,9
Subsecretaría de Minas,SANDONA,femenino,68
"Secretaría de TIC, Innovación y Gobierno Abierto",ARBOLEDA,masculino,74
Secretaría de Recreación y Deporte,CONTADERO,femenino,35
Dirección Administrativa de Gestión de Riesgo de Desastres,POLICARPA,masculino,59
Secretaría de Gobierno,EL CHARCO,masculino,12
Subsecretaría de Presupuesto,ALBAN,femenino,66
Secretaría de Hacienda,CORDOBA,masculino,54
Departamento Administrativo de Contratación,LA UNION,femenino,69
Subsecretaría de Paz y Derechos Humanos,CONTADERO,femenino,49
"Secretaría de TIC, Innovación y Gobierno Abierto",POTOSI,femenino,11
Oficina Jurídica,CUASPUD,femenino,85
Secretaría de Equidad de Genero e Inclusión Social,GUACHUCAL,masculino,48
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",TANGUA,femenino,23
Subsecretaría de Rentas,NARIÑO,femenino,26
Secretaría de Planeación,TAMINANGO,femenino,16
Subsecretaría de Minas,BUESACO,masculino,9
Subsecretaría de Rentas,CORDOBA,femenino,49
Subsecretaría Administrativa y Financiera,ALBAN,femenino,87
Oficina Control Interno Diciplinario,IPIALES,masculino,37
Secretaría de Infraestructura y Minas,CUMBAL,masculino,62
Dirección Administrativa de Gestión de Riesgo de Desastres,CONSACA,masculino,15
Dirección Administrativa de Turismo,MALLAMA,masculino,13
Secretaría de Hacienda,OSPINA,femenino,56
Subsecretaría de Gestión Pública,LOS ANDES,femenino,78
Oficina Control Interno de Gestión,OLAYA HERRERA,femenino,39
Subsecretaría de Gestión Pública,SAN LORENZO,femenino,11
Subsecretaría de Desarrollo Comunitario,RICAURTE,femenino,65
Subsecretaría de Minas,TANGUA,femenino,74
Subsecretaría de Planeación Educativa y Cobertura,TANGUA,masculino,75
Secretaría de Agricultura y Desarrollo Rural,SAN LORENZO,masculino,11
Subsecretaría Administrativa,MOSQUERA,masculino,81
Subsecretaría de Transito y Trasnporte,BUESACO,masculino,6
Subsecretaría de Gestión Pública,SAMANIEGO,masculino,15
Subsecretaría de Minas,LA LLANADA,femenino,81
Secretaría de Agricultura y Desarrollo Rural,POLICARPA,masculino,71
"Secretaría de TIC, Innovación y Gobierno Abierto",POLICARPA,femenino,54
Subsecretaría de Economía Regional y Agua Potable,SAN PEDRO DE CARTAGO,femenino,34
"Subsecretaría de Asuntos Agropecuarios, Transformación y Comercialización",TANGUA,masculino,37
Subsecretaría de Desarrollo Comunitario,NARIÑO,masculino,57
Secretaría de Ambiente y Desarrollo Sostenible,LOS ANDES,masculino,61
Subsecretaría de Talento Humano,CORDOBA,masculino,20
Secretaría de Gobierno,ROBERTO PAYAN,femenino,33
Subsecretaría de Rentas,TAMINANGO,masculino,81
Subsecretaría de Transito y Trasnporte,BARBACOAS,femenino,13
Subsecretaría Administrativa,BELEN,femenino,54
Subsecretaría de Transito y Trasnporte,LA CRUZ,masculino,73
Oficina Control Interno de Gestión,ANCUYA,masculino,8
Secretaría de Hacienda,YACUANQUER,masculino,29
"Secretaría de TIC, Innovación y Gobierno Abierto",TUQUERRES,femenino,22
Oficina Control Interno de Gestión,ROBERTO PAYAN,masculino,87
